danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.617,0.518,9,-9.417,0,0.0992,0.0125,0.1,0.165,0.562,158.515,200533,4
0.531,0.925,1,-5.004,0,0.0399,0.11,0.031,0.0798,0.881,200.934,251453,4
0.37,0.683,2,-8.163,1,0.0387,0.0036,6.32e-06,0.451,0.728,154.044,126160,4
0.49,0.827,8,-9.481,1,0.0482,0.000212,0.00406,0.112,0.626,108.577,179360,4
0.652,0.788,6,-7.505,1,0.0266,0.0164,1.74e-06,0.0837,0.868,105.094,222533,4
0.466,0.982,4,-3.364,1,0.0596,0.306,0.479,0.437,0.659,170.87,224707,4
0.402,0.725,9,-12.169,0,0.0459,0.0788,0.0,0.0646,0.677,149.272,165467,4
0.436,0.532,0,-10.766,1,0.0476,0.308,0.00395,0.208,0.845,190.113,310867,4
0.534,0.461,9,-6.603,0,0.0361,0.468,6.43e-05,0.036,0.783,95.105,213533,4
0.505,0.914,4,-5.202,0,0.0281,0.0108,0.0496,0.346,0.707,154.113,142387,4
0.344,0.796,9,-11.731,1,0.0407,0.00942,0.00186,0.0984,0.601,96.95,275493,4
0.531,0.626,0,-13.371,1,0.0452,0.0606,0.0,0.0767,0.746,88.236,227693,4
0.305,0.849,9,-4.892,1,0.0999,0.548,0.000134,0.0995,0.555,134.287,205347,4
0.737,0.658,2,-9.176,0,0.263,0.0445,1.19e-05,0.0469,0.901,141.553,181307,4
0.706,0.785,11,-7.666,0,0.041,0.00802,0.0319,0.195,0.636,105.893,247829,4
0.583,0.641,2,-9.39,0,0.0334,0.107,1.31e-06,0.0606,0.436,135.013,205600,4
0.443,0.693,9,-9.928,1,0.0325,0.00756,0.000143,0.356,0.737,146.0,227533,4
0.302,0.602,5,-9.122,1,0.0374,0.227,0.00355,0.171,0.365,145.995,207893,4
0.253,0.701,9,-10.156,1,0.0432,0.00126,6.48e-05,0.266,0.614,144.993,208467,4
0.449,0.942,9,-4.23,1,0.108,0.0493,0.00565,0.273,0.356,137.557,205427,4
0.597,0.582,7,-9.424,1,0.0498,0.255,0.0168,0.137,0.795,141.15,124760,3
0.442,0.875,5,-11.346,1,0.13,0.00147,0.000719,0.899,0.468,128.833,300760,4
0.528,0.694,11,-12.294,0,0.057,0.00866,0.000189,0.141,0.716,131.287,221200,4
0.716,0.821,7,-4.204,1,0.0389,0.551,5.68e-06,0.618,0.931,120.737,197867,4
0.38,0.633,2,-12.631,1,0.247,0.0137,0.00041,0.497,0.589,83.585,244027,4
0.523,0.707,7,-12.19,1,0.0318,0.119,0.00409,0.0794,0.609,116.196,378960,4
0.463,0.629,2,-7.075,1,0.0269,0.0524,0.0,0.176,0.459,81.797,221387,4
0.506,0.402,8,-11.743,0,0.0256,0.307,1.25e-05,0.0814,0.54,94.221,234360,4
0.409,0.92,11,-5.439,0,0.12,0.00719,0.00105,0.0823,0.37,145.085,290960,4
0.58,0.849,2,-11.664,1,0.0325,0.0316,0.0405,0.341,0.929,142.706,177267,4
0.277,0.815,7,-6.112,1,0.0751,0.477,0.0456,0.171,0.362,82.063,243520,4
0.442,0.682,9,-11.146,1,0.059,0.295,0.000245,0.779,0.564,103.979,287053,4
0.607,0.939,2,-4.95,1,0.0375,0.0166,0.0081,0.0941,0.764,157.957,243067,4
0.375,0.599,7,-12.022,1,0.199,0.0922,0.0,0.2,0.62,126.822,261173,4
0.392,0.534,0,-8.793,1,0.0369,0.245,0.00104,0.155,0.325,181.305,276187,4
0.646,0.879,9,-5.406,1,0.03,0.0191,0.0,0.362,0.957,137.413,219813,4
0.232,0.615,9,-8.636,1,0.0295,0.0778,5.68e-06,0.0601,0.41,146.488,450227,3
0.608,0.787,9,-6.703,0,0.0277,0.000337,0.00782,0.111,0.474,113.796,274118,4
0.486,0.83,3,-10.815,1,0.037,0.0104,0.000475,0.0635,0.652,151.869,188533,4
0.534,0.668,10,-10.845,1,0.0335,0.0296,0.0295,0.205,0.963,146.32,226400,4
0.517,0.707,7,-13.863,1,0.0316,0.00193,0.00539,0.27,0.827,146.724,262213,4
0.673,0.456,0,-13.051,1,0.0293,0.0459,9.81e-05,0.147,0.859,101.015,201667,4
0.348,0.977,0,-2.113,1,0.131,0.000496,0.000642,0.239,0.463,140.046,271853,4
0.637,0.856,2,-9.254,1,0.0352,0.172,0.000101,0.166,0.93,100.372,246253,4
0.676,0.771,7,-5.981,1,0.0283,0.109,0.0,0.247,0.708,115.073,199587,4
0.638,0.356,0,-12.831,1,0.055,0.002,0.0218,0.172,0.271,145.996,300827,4
0.675,0.88,2,-4.268,0,0.0532,0.0368,0.00039,0.0768,0.844,90.736,250427,4
0.61,0.834,11,-5.33,0,0.0359,0.0541,0.0197,0.0926,0.852,131.372,301227,4
0.788,0.861,0,-9.745,1,0.0623,0.158,1.35e-05,0.0199,0.95,109.232,193801,4
0.563,0.623,2,-12.327,1,0.0252,0.0494,0.000159,0.184,0.393,99.34,337907,4
0.579,0.601,9,-14.415,0,0.0337,0.163,0.0,0.0536,0.615,106.2,169200,4
0.234,0.693,0,-8.277,1,0.0408,2.82e-05,0.899,0.442,0.541,106.933,181320,4
0.481,0.906,9,-3.705,1,0.0349,0.334,0.603,0.043,0.364,127.955,184960,4
0.434,0.297,0,-11.042,1,0.0287,0.763,2.73e-06,0.0898,0.289,130.388,202067,4
0.618,0.413,4,-14.164,0,0.0302,0.249,0.0517,0.131,0.531,97.84,180760,4
0.707,0.906,7,-5.771,1,0.0309,0.0368,0.000968,0.661,0.97,112.837,315293,4
0.589,0.751,9,-5.663,1,0.0403,0.0785,2.38e-06,0.0878,0.637,108.849,240227,4
0.77,0.553,10,-13.632,1,0.0268,0.0614,0.00106,0.103,0.904,98.346,230107,4
0.621,0.773,4,-12.157,1,0.0475,0.144,0.0,0.161,0.856,140.748,222893,4
0.472,0.579,4,-10.533,0,0.131,0.265,0.0732,0.135,0.18,103.14,212507,4
0.496,0.156,9,-17.059,1,0.0419,0.777,0.0,0.232,0.205,129.524,206333,4
0.617,0.768,0,-8.911,1,0.0628,0.0168,1.65e-06,0.576,0.67,138.861,218867,4
0.674,0.706,9,-9.012,1,0.0384,0.108,6.48e-06,0.114,0.961,133.789,172400,4
0.721,0.521,2,-8.123,1,0.0613,0.0708,0.00545,0.127,0.942,123.118,261413,4
0.432,0.958,9,-4.009,1,0.0819,0.00943,2.79e-06,0.227,0.874,164.018,174360,4
0.794,0.73,7,-6.067,1,0.0332,0.0538,0.000832,0.0826,0.767,128.999,206640,4
0.575,0.446,3,-13.839,1,0.105,0.426,0.0175,0.0656,0.532,75.501,272432,4
0.445,0.955,8,-8.027,1,0.0856,0.0326,0.284,0.317,0.336,123.343,273600,4
0.624,0.815,9,-10.542,1,0.0425,0.00343,0.622,0.175,0.758,129.191,274440,4
0.526,0.9,2,-6.815,1,0.0545,0.00539,4.12e-05,0.14,0.883,151.279,163240,4
0.67,0.591,7,-6.012,1,0.0646,0.62,0.0,0.373,0.8,91.439,217613,4
0.636,0.818,0,-8.939,1,0.0354,0.528,0.0938,0.162,0.908,117.618,201547,4
0.799,0.524,7,-12.439,1,0.0489,0.395,1.42e-06,0.124,0.791,110.441,204133,4
0.765,0.502,9,-7.393,1,0.0321,0.119,0.0011,0.171,0.836,144.204,289440,4
0.331,0.833,7,-6.204,1,0.0408,0.0115,0.0,0.209,0.527,72.369,244960,4
0.557,0.798,9,-5.843,0,0.0277,0.0158,2.47e-05,0.547,0.612,134.805,252267,4
0.574,0.91,6,-3.813,0,0.0371,0.0261,0.00219,0.209,0.611,122.987,226227,4
0.671,0.405,0,-10.052,1,0.0392,0.385,0.0,0.132,0.828,99.678,265067,4
0.779,0.799,9,-14.766,1,0.0341,0.55,0.000404,0.0575,0.964,125.148,263133,4
0.273,0.821,9,-6.262,1,0.0433,0.00153,0.0157,0.18,0.739,179.882,299200,4
