Il y a 1953 genres nommés différemment
['welsh indie', 6]
['athens indie', 6]
['neo-singer-songwriter', 6]
['psychedelic doom', 6]
['indiecoustica', 6]
['one-person band', 6]
['straight edge', 6]
['underground power pop', 6]
['romanian pop', 6]
['auckland indie', 6]
["women's music", 6]
['uk doom metal', 6]
['grungegaze', 6]
['detroit rock', 6]
['perth indie', 6]
['twee pop', 6]
['emo punk', 6]
['norwegian indie', 6]
['gaian doom', 6]
['grunge pop', 6]
['hypnagogic pop', 6]
['grebo', 6]
['danish rock', 6]
['latin hip hop', 6]
['icelandic indie', 6]
['north carolina indie', 6]
['steampunk', 6]
['classic progressive house', 6]
['scottish electronic', 6]
['horror punk', 6]
['jump blues', 6]
['instrumental soul', 6]
['small room', 6]
['math pop', 6]
['chicago drill', 6]
['fidget house', 6]
['oth indie', 6]
['celtic', 6]
['deep acoustic pop', 6]
['big band', 6]
['dixieland', 6]
['vintage jazz', 6]
['free jazz', 6]
['deep adult standards', 6]
['melbourne bounce international', 6]
['wrestling', 6]
['slow game', 6]
['pixel', 6]
['brit funk', 6]
['afrobeat', 6]
['brass band', 6]
['j-metal', 6]
['aggrotech', 6]
['futurepop', 6]
['irish folk', 6]
['freak folk', 6]
['moombahton', 6]
['danish electronic', 6]
['minneapolis indie', 6]
['afroswing', 6]
['focus', 6]
['tape club', 5]
['oakland indie', 5]
['spacegrunge', 5]
['california hardcore', 5]
['progressive groove metal', 5]
['atlanta indie', 5]
['modern melodic hardcore', 5]
['indie jazz', 5]
['gothenburg metal', 5]
['washington indie', 5]
['mashup', 5]
['chamber folk', 5]
['transpop', 5]
['belgian rock', 5]
['parody', 5]
['scottish singer-songwriter', 5]
['american metalcore', 5]
['queer country', 5]
['uk garage', 5]
['christian hard rock', 5]
['swedish stoner rock', 5]
['denton tx indie', 5]
['bluegrass', 5]
['german indie', 5]
['charlotte nc indie', 5]
['elephant 6', 5]
['ccm', 5]
['dark wave', 5]
['nerdcore', 5]
['swiss metal', 5]
['bass trap', 5]
['seattle hip hop', 5]
['swedish melodic rock', 5]
['classic swedish pop', 5]
['movie tunes', 5]
['texas pop punk', 5]
['australian indie folk', 5]
['british post-rock', 5]
['buffalo ny indie', 5]
['tribal house', 5]
['electro', 5]
['dubstep', 5]
['bmore', 5]
['scratch', 5]
['slap house', 5]
['bass house', 5]
['tech house', 5]
['dancehall queen', 5]
['progressive trance', 5]
['nordic house', 5]
['utah indie', 5]
['operatic pop', 5]
['leeds indie', 5]
['honky tonk', 5]
['nu skool breaks', 5]
['swedish progressive metal', 5]
['ontario indie', 5]
['rocksteady', 5]
['afrobeats', 5]
['swedish soul', 5]
['chill dream pop', 5]
['smooth saxophone', 5]
['celtic metal', 5]
['avant-garde jazz', 5]
['australian indie rock', 5]
['jungle', 5]
['finnish hard rock', 5]
['nightrun', 5]
['acoustic punk', 5]
['modern jazz trio', 5]
['stride', 5]
['belgian pop', 5]
['hardcore techno', 5]
['italo disco', 5]
['new age', 5]
['romanian house', 5]
['christian hip hop', 5]
['indie game soundtrack', 5]
['dutch indie', 5]
['ambient idm', 5]
['uk dancehall', 5]
['power blues-rock', 5]
['australian underground hip hop', 5]
['modern indie folk', 5]
['speedrun', 5]
['k-pop', 5]
['baton rouge rap', 4]
['fantasy metal', 4]
['rock independant francais', 4]
['stomp and whittle', 4]
['alabama rap', 4]
['christian punk', 4]
['dark rock', 4]
['bitpop', 4]
['cowpunk', 4]
['us power metal', 4]
['irish pop', 4]
['alabama metal', 4]
['south african rock', 4]
['melodic deathcore', 4]
['retro metal', 4]
['deep gothic post-punk', 4]
['essex indie', 4]
['french synthpop', 4]
['birmingham metal', 4]
['hip-hop experimental', 4]
['symphonic death metal', 4]
['acoustic rock', 4]
['bergen indie', 4]
['swedish singer-songwriter', 4]
['boston hardcore', 4]
['mathcore', 4]
['flute rock', 4]
['new jersey punk', 4]
['bow pop', 4]
['ethereal wave', 4]
['swedish black metal', 4]
['hamilton on indie', 4]
['kansas city hip hop', 4]
['dallas indie', 4]
['australian psych', 4]
['vancouver punk', 4]
['old-time', 4]
['virginia metal', 4]
['symphonic deathcore', 4]
['virginia hip hop', 4]
['dc hardcore', 4]
['dark synthpop', 4]
['blackened deathcore', 4]
['canadian post-hardcore', 4]
['ska revival', 4]
['french indietronica', 4]
['latin pop', 4]
['texas latin rap', 4]
['kc indie', 4]
['danish indie', 4]
['indie quebecois', 4]
['pop quebecois', 4]
['dark cabaret', 4]
['ecm-style jazz', 4]
['jazz boom bap', 4]
['purple sound', 4]
['uk experimental electronic', 4]
['new orleans soul', 4]
['gothic americana', 4]
['hauntology', 4]
['outsider', 4]
['indie electronica', 4]
['nz electronic', 4]
['pittsburgh rap', 4]
['acid house', 4]
['west coast reggae', 4]
['montreal indie', 4]
['gregorian dance', 4]
['synthesizer', 4]
['garage punk blues', 4]
['portland hip hop', 4]
['australian surf rock', 4]
['roots americana', 4]
['dark techno', 4]
['swedish idol pop', 4]
['norwegian hip hop', 4]
['meme', 4]
['modern jazz piano', 4]
['relaxative', 4]
['indie hip hop', 4]
['abstract', 4]
['nu age', 4]
['french pop', 4]
['float house', 4]
['bristol electronic', 4]
['swedish garage rock', 4]
['atmospheric post-metal', 4]
['saskatchewan indie', 4]
['west coast trap', 4]
['deep new wave', 4]
['dunedin sound', 4]
['belgian indie', 4]
['canterbury scene', 4]
['video game music', 4]
['rawstyle', 4]
['j-rock', 4]
['nashville singer-songwriter', 4]
['austin americana', 4]
['second line', 4]
['street band', 4]
['tucson indie', 4]
['neo-traditional bluegrass', 4]
['instrumental djent', 4]
['classic soundtrack', 4]
['darksynth', 4]
['strut', 4]
['pacific islands pop', 4]
['happy hardcore', 4]
['scorecore', 4]
['norwegian alternative rock', 4]
['new england emo', 4]
['chiptune', 4]
['nantes indie', 4]
['canadian trap', 4]
['australian post-hardcore', 4]
['german post-hardcore', 4]
['dutch metal', 4]
['canadian americana', 4]
['nz folk', 4]
['footwork', 4]
['uplifting trance', 4]
['oulu metal', 4]
['pop folk', 4]
['popwave', 4]
['plugg', 4]
['liquid funk', 4]
['icelandic singer-songwriter', 3]
['boston metal', 3]
['finnish alternative rock', 3]
['calgary indie', 3]
['sacramento hip hop', 3]
['canadian pop punk', 3]
['world', 3]
['denver indie', 3]
['rochester ny indie', 3]
['wu fam', 3]
['canadian metalcore', 3]
['canadian hardcore', 3]
['albuquerque indie', 3]
['southampton indie', 3]
['cape town indie', 3]
['swedish americana', 3]
['worcester ma indie', 3]
['edmonton indie', 3]
['lo-fi indie', 3]
['laboratorio', 3]
['chicano punk', 3]
['chopped and screwed', 3]
['comedy rap', 3]
['lafayette indie', 3]
['post-doom metal', 3]
['florida death metal', 3]
['retro soul', 3]
['indie psych-pop', 3]
['nottingham indie', 3]
['boston indie', 3]
['western americana', 3]
['asbury park indie', 3]
['psychedelic folk', 3]
['reading indie', 3]
['viking black metal', 3]
['brisbane indie', 3]
['american shoegaze', 3]
['melbourne indie', 3]
['birmingham hip hop', 3]
['latin metal', 3]
['miami metal', 3]
['german rock', 3]
['northern irish indie', 3]
['vaporwave', 3]
['british death metal', 3]
['swedish doom metal', 3]
['modern ska punk', 3]
['minimalism', 3]
['long island punk', 3]
['bluegrass gospel', 3]
['mandolin', 3]
['country gospel', 3]
['virginia punk', 3]
['polish metal', 3]
['san marcos tx indie', 3]
['atlanta metal', 3]
['progressive sludge', 3]
['vegas indie', 3]
['oc indie', 3]
['jazz metal', 3]
['early synthpop', 3]
['british power metal', 3]
['tampa indie', 3]
['atmospheric black metal', 3]
['sci-fi metal', 3]
['drumless hip hop', 3]
['gothic alternative', 3]
['trap latino', 3]
['uk funky', 3]
['instrumental grime', 3]
['nederpop', 3]
['italo house', 3]
['hollywood', 3]
['swing revival', 3]
['new beat', 3]
['japanese emo', 3]
['alabama indie', 3]
['norwegian experimental', 3]
['mississippi hip hop', 3]
['mississippi indie', 3]
['sudanese pop', 3]
['dutch edm', 3]
['proto-techno', 3]
['hel', 3]
['swamp pop', 3]
['french techno', 3]
['flick hop', 3]
['boston hip hop', 3]
['lo-fi emo', 3]
['grand rapids indie', 3]
['folk black metal', 3]
['piedmont blues', 3]
['york indie', 3]
['indie singer-songwriter', 3]
['german electronica', 3]
['uk pop punk', 3]
['indy indie', 3]
['crack rock steady', 3]
['substep', 3]
['atlanta bass', 3]
['dutch trance', 3]
['minimal melodic techno', 3]
['east coast reggae', 3]
['german alternative rock', 3]
['modern funk', 3]
['yodeling', 3]
['uk bass', 3]
['acoustic cover', 3]
['space age pop', 3]
['instrumental stoner rock', 3]
['ramonescore', 3]
['black punk', 3]
['frankfurt electronic', 3]
['symphonic power metal', 3]
['queercore', 3]
['wyoming roots', 3]
['pittsburgh indie', 3]
['jazz double bass', 3]
['jazz quartet', 3]
['belgian edm', 3]
['future house', 3]
['smooth soul', 3]
['drill and bass', 3]
['contemporary classical', 3]
['neoclassical darkwave', 3]
['new age piano', 3]
['melodic techno', 3]
['singer-songwriter pop', 3]
['techno', 3]
['rare groove', 3]
['visual kei', 3]
['cello', 3]
['rap metalcore', 3]
['michigan indie', 3]
['slam poetry', 3]
['southern soul blues', 3]
['atl trap', 3]
['detroit indie', 3]
['miami indie', 3]
['icelandic electronic', 3]
['electro jazz', 3]
['swedish jazz', 3]
['melodic hard rock', 3]
['nashville americana', 3]
['new wave of glam metal', 3]
['deep contemporary country', 3]
['canadian indie folk', 3]
['soca', 3]
['dark jazz', 3]
['broadway', 3]
['manitoba indie', 3]
['drone folk', 3]
['minneapolis punk', 3]
['belgian electronic', 3]
['nz hip hop', 3]
