danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.572,0.909,5,-4.914,1,0.0521,0.03,5.82e-05,0.203,0.954,133.5,201853,4
0.523,0.714,4,-7.552,0,0.0683,0.466,0.00359,0.113,0.359,128.968,275547,4
0.638,0.428,9,-12.156,0,0.0687,0.252,0.0,0.132,0.901,139.434,112800,4
0.607,0.82,11,-7.754,1,0.0597,0.0541,6.8e-05,0.269,0.768,126.988,207507,4
0.235,0.965,1,-5.945,1,0.0575,2.53e-05,0.624,0.343,0.342,139.546,503800,4
0.269,0.895,9,-6.382,1,0.118,0.083,0.00266,0.153,0.16,168.479,299507,4
0.456,0.922,9,-3.995,0,0.0395,0.000343,0.204,0.084,0.73,86.53,192373,4
0.62,0.193,0,-13.404,1,0.0439,0.638,0.0136,0.107,0.155,129.979,174093,4
0.811,0.41,9,-8.214,1,0.0391,0.0365,6.63e-06,0.0799,0.626,103.965,254493,4
0.442,0.957,7,-5.12,1,0.0584,8.66e-05,0.734,0.108,0.374,95.006,176547,4
0.612,0.921,7,-2.882,1,0.085,0.0183,0.0,0.0576,0.446,139.988,202173,4
0.446,0.947,1,-2.983,0,0.1,0.00487,1.38e-05,0.0385,0.653,173.625,197933,4
0.608,0.899,2,-3.185,1,0.0392,0.0125,0.0,0.211,0.652,105.032,185429,4
0.613,0.619,11,-9.839,0,0.0322,0.446,0.885,0.11,0.516,107.489,261154,4
0.535,0.727,4,-8.136,0,0.147,0.000711,0.00753,0.109,0.605,125.166,251467,4
0.486,0.0617,3,-22.02,1,0.0413,0.951,0.00048,0.109,0.585,139.416,107080,3
0.277,0.921,2,-4.99,0,0.116,0.00054,3.34e-06,0.121,0.403,122.554,234600,3
0.479,0.847,1,-4.927,1,0.0534,0.0131,0.0,0.115,0.167,111.514,219133,4
0.571,0.817,10,-4.766,1,0.0436,0.000621,0.00295,0.165,0.607,110.491,161987,4
0.739,0.82,5,-6.099,0,0.0889,0.00823,0.0,0.2,0.775,127.984,228027,4
0.684,0.481,2,-12.59,1,0.0384,0.475,6.57e-05,0.118,0.784,115.078,250000,4
0.494,0.939,1,-3.127,1,0.126,0.00666,0.0,0.139,0.893,177.751,175093,4
0.503,0.727,1,-5.456,1,0.167,0.0159,9.45e-05,0.0895,0.521,121.985,255632,4
0.377,0.681,7,-8.039,1,0.0298,0.00088,0.0023,0.0504,0.285,108.789,285133,4
0.239,0.984,7,-3.577,0,0.13,4.58e-05,0.0185,0.156,0.2,95.886,256093,4
0.4,0.805,4,-7.305,1,0.0407,0.0387,5.4e-05,0.109,0.324,158.459,193933,4
0.619,0.936,7,-4.376,0,0.0413,0.00168,1.85e-06,0.19,0.838,119.997,198253,4
0.746,0.84,5,-5.891,1,0.0331,0.0917,0.0156,0.351,0.734,110.0,280120,4
0.522,0.933,1,-4.086,1,0.0544,0.000113,0.724,0.112,0.679,181.957,255093,4
0.466,0.648,1,-11.101,0,0.028,0.0023,1.49e-05,0.112,0.305,90.435,229960,4
0.495,0.936,4,-7.196,0,0.0401,0.0111,0.000709,0.276,0.837,107.394,224480,4
0.615,0.609,2,-11.691,1,0.0292,0.0173,0.0175,0.116,0.536,124.113,328227,4
0.2,0.974,7,-4.229,1,0.291,1.84e-05,0.161,0.36,0.215,80.123,247520,4
0.548,0.503,7,-9.329,1,0.0306,0.493,0.000743,0.0733,0.482,133.76,294498,4
0.755,0.901,9,-3.152,1,0.0893,0.0451,0.0373,0.363,0.959,145.042,310573,4
0.579,0.554,0,-7.08,1,0.0587,0.0175,0.0221,0.101,0.838,185.183,241467,4
0.486,0.904,6,-3.751,0,0.0638,3.43e-05,2.83e-05,0.0947,0.786,173.734,198267,4
0.53,0.907,8,-3.066,1,0.0589,0.00254,3.91e-05,0.1,0.264,109.997,243939,4
0.61,0.638,0,-6.574,1,0.0238,0.0672,6.59e-06,0.283,0.603,79.955,232200,4
0.736,0.705,7,-6.231,1,0.24,0.0579,0.0,0.321,0.557,86.404,238840,4
0.462,0.874,9,-3.929,1,0.0788,0.000312,0.00574,0.0886,0.521,157.106,250773,4
0.38,0.908,2,-6.425,0,0.193,0.0295,0.0,0.101,0.0974,97.613,280867,4
