Title,track_id,artist,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genres
Do You Like It,6Vna1EicKL7iNsSHXCpmwl,Kingdom Come,2YFKPea38AMhGqGSqkFF1Q,0.359,0.839,9,-11.0,0,0.0388,0.00254,0.000292,0.102,0.747,164.568,audio_features,6Vna1EicKL7iNsSHXCpmwl,spotify:track:6Vna1EicKL7iNsSHXCpmwl,https://api.spotify.com/v1/tracks/6Vna1EicKL7iNsSHXCpmwl,https://api.spotify.com/v1/audio-analysis/6Vna1EicKL7iNsSHXCpmwl,217853,4,"['german hard rock', 'glam metal', 'hard rock']"
Pray For Rain,4SYUXskP2fLUIApeGs1uHd,Pure Bathing Culture,4WrK3qZXMjfwl0dQj09QSD,0.562,0.769,4,-3.98,1,0.0323,7.45e-06,6.1e-06,0.068,0.352,105.107,audio_features,4SYUXskP2fLUIApeGs1uHd,spotify:track:4SYUXskP2fLUIApeGs1uHd,https://api.spotify.com/v1/tracks/4SYUXskP2fLUIApeGs1uHd,https://api.spotify.com/v1/audio-analysis/4SYUXskP2fLUIApeGs1uHd,225093,4,"['chillwave', 'shiver pop']"
A Wonderful Life,6K0upf6Q7FoLYmF2lc86B9,Brian Fallon,3JlzEFwarS8ZcCGNFy11y4,0.51,0.921,7,-3.826,1,0.0463,0.00074,0.0,0.33,0.885,122.043,audio_features,6K0upf6Q7FoLYmF2lc86B9,spotify:track:6K0upf6Q7FoLYmF2lc86B9,https://api.spotify.com/v1/tracks/6K0upf6Q7FoLYmF2lc86B9,https://api.spotify.com/v1/audio-analysis/6K0upf6Q7FoLYmF2lc86B9,189547,4,"['heartland rock', 'new jersey indie']"
Pen To Paper,5YTsTuGhQyYNWCVFNjkxQV,Modern Space,6gINjiQZIN2b9G2i6zj13e,0.49,0.679,0,-5.095,1,0.0544,0.000292,0.0,0.173,0.504,90.457,audio_features,5YTsTuGhQyYNWCVFNjkxQV,spotify:track:5YTsTuGhQyYNWCVFNjkxQV,https://api.spotify.com/v1/tracks/5YTsTuGhQyYNWCVFNjkxQV,https://api.spotify.com/v1/audio-analysis/5YTsTuGhQyYNWCVFNjkxQV,168951,4,['toronto indie']
Might Not,6ArlDORkzYlMetmkhEuMSk,Belly,0FOWNUFHPnMy0vOw1siGqi,0.79,0.56,1,-4.848,1,0.0733,0.251,0.0,0.0799,0.27,134.029,audio_features,6ArlDORkzYlMetmkhEuMSk,spotify:track:6ArlDORkzYlMetmkhEuMSk,https://api.spotify.com/v1/tracks/6ArlDORkzYlMetmkhEuMSk,https://api.spotify.com/v1/audio-analysis/6ArlDORkzYlMetmkhEuMSk,224640,4,"['canadian hip hop', 'canadian trap']"
Temple,28ydQDIdJSKTJXM3YQph9r,Parson James,48sLioddyaXkuhyHXSkpsB,0.568,0.644,1,-6.666,1,0.0268,0.343,0.0,0.0845,0.19,94.041,audio_features,28ydQDIdJSKTJXM3YQph9r,spotify:track:28ydQDIdJSKTJXM3YQph9r,https://api.spotify.com/v1/tracks/28ydQDIdJSKTJXM3YQph9r,https://api.spotify.com/v1/audio-analysis/28ydQDIdJSKTJXM3YQph9r,249573,4,['pop soul']
Another World,5MngRAg4gsiHP4rvizBloY,Royal Headache,01Jsi7Q2a1GdLvNShahaj1,0.221,0.709,11,-5.601,0,0.0396,5.83e-06,2.51e-06,0.0515,0.715,168.416,audio_features,5MngRAg4gsiHP4rvizBloY,spotify:track:5MngRAg4gsiHP4rvizBloY,https://api.spotify.com/v1/tracks/5MngRAg4gsiHP4rvizBloY,https://api.spotify.com/v1/audio-analysis/5MngRAg4gsiHP4rvizBloY,142183,4,"['garage pop', 'garage psych', 'garage punk', 'indie punk', 'modern power pop', 'noise pop']"
Dragon Age Inquisition Theme,23HykWgKpB4MkjqDHPbQIX,Trevor Morris,5ikWl4mjoiFlLPvkFRZETq,0.418,0.529,2,-12.674,1,0.0525,0.33,0.895,0.148,0.0544,128.052,audio_features,23HykWgKpB4MkjqDHPbQIX,spotify:track:23HykWgKpB4MkjqDHPbQIX,https://api.spotify.com/v1/tracks/23HykWgKpB4MkjqDHPbQIX,https://api.spotify.com/v1/audio-analysis/23HykWgKpB4MkjqDHPbQIX,172107,4,"['canadian soundtrack', 'scorecore', 'soundtrack', 'video game music']"
Rock wit Me (feat. IAMSU!),1UFg9EPjaPAiHl9lurJK0I,Trevor Jackson,6vZUJpsm4VHjSWpedp05vg,0.587,0.625,2,-7.092,1,0.0647,0.00457,0.0,0.176,0.231,126.201,audio_features,1UFg9EPjaPAiHl9lurJK0I,spotify:track:1UFg9EPjaPAiHl9lurJK0I,https://api.spotify.com/v1/tracks/1UFg9EPjaPAiHl9lurJK0I,https://api.spotify.com/v1/audio-analysis/1UFg9EPjaPAiHl9lurJK0I,204632,5,['pop r&b']
The Greatest,7JpewU9FPkJyiOi0CErkpI,Futuristic,5Z5jUyiNvFaqp0EVyLNf0p,0.762,0.839,9,-4.676,1,0.307,0.21,0.0,0.275,0.197,122.047,audio_features,7JpewU9FPkJyiOi0CErkpI,spotify:track:7JpewU9FPkJyiOi0CErkpI,https://api.spotify.com/v1/tracks/7JpewU9FPkJyiOi0CErkpI,https://api.spotify.com/v1/audio-analysis/7JpewU9FPkJyiOi0CErkpI,214903,4,"['deep underground hip hop', 'indie pop rap']"
Laugh 'n' A1/2,1CLEXR2yNIZj5ZRl2j6lLW,D-A-D,2I6gQ8HicF6er2NgjfkwGd,0.602,0.467,3,-12.538,1,0.0328,0.719,0.0,0.142,0.734,130.213,audio_features,1CLEXR2yNIZj5ZRl2j6lLW,spotify:track:1CLEXR2yNIZj5ZRl2j6lLW,https://api.spotify.com/v1/tracks/1CLEXR2yNIZj5ZRl2j6lLW,https://api.spotify.com/v1/audio-analysis/1CLEXR2yNIZj5ZRl2j6lLW,211827,4,"['danish alternative rock', 'danish rock']"
Preliator,6UarreObk00TgLO7HleEYj,Globus,2SrDoQLTZqsVi8Vg1UdHao,0.343,0.948,1,-4.721,1,0.0766,0.104,0.00925,0.154,0.126,144.976,audio_features,6UarreObk00TgLO7HleEYj,spotify:track:6UarreObk00TgLO7HleEYj,https://api.spotify.com/v1/tracks/6UarreObk00TgLO7HleEYj,https://api.spotify.com/v1/audio-analysis/6UarreObk00TgLO7HleEYj,268600,4,"['bow pop', 'epicore']"
2AM.,64Jyg9AzWl3AHdnkKPmY4T,Adrian Marcel,0tqGegfp4LA38TZ807OdzM,0.849,0.534,4,-6.365,1,0.0699,0.0472,0.0,0.25,0.599,102.014,audio_features,64Jyg9AzWl3AHdnkKPmY4T,spotify:track:64Jyg9AzWl3AHdnkKPmY4T,https://api.spotify.com/v1/tracks/64Jyg9AzWl3AHdnkKPmY4T,https://api.spotify.com/v1/audio-analysis/64Jyg9AzWl3AHdnkKPmY4T,237653,4,['pop r&b']
Valet (feat. Fetty Wap and 2 Chainz),7osBjxxoPSCceUMdkyFh9O,Eric Bellinger,7ibAWtDtmEfaVhc1FJ3Vl9,0.749,0.53,1,-5.251,1,0.0386,0.0287,0.0,0.141,0.332,93.869,audio_features,7osBjxxoPSCceUMdkyFh9O,spotify:track:7osBjxxoPSCceUMdkyFh9O,https://api.spotify.com/v1/tracks/7osBjxxoPSCceUMdkyFh9O,https://api.spotify.com/v1/audio-analysis/7osBjxxoPSCceUMdkyFh9O,204324,4,"['pop r&b', 'r&b']"
Delete,6YhTu36qfOgDVTBNd6vndz,DMA'S,1iUTUix5kea176M0uJTsh4,0.547,0.452,11,-7.609,1,0.0323,0.375,0.0,0.133,0.251,124.841,audio_features,6YhTu36qfOgDVTBNd6vndz,spotify:track:6YhTu36qfOgDVTBNd6vndz,https://api.spotify.com/v1/tracks/6YhTu36qfOgDVTBNd6vndz,https://api.spotify.com/v1/audio-analysis/6YhTu36qfOgDVTBNd6vndz,271061,4,"['australian indie', 'australian surf rock']"
