Title,track_id,artist,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genres,Sorted_genres
Cut Your Hair (Remastered),5nG6XQckfjnPkDyxDGDFFV,Pavement,3inCNiUr4R6XQ3W43s9Aqi,0.469,0.825,4,-6.612,0,0.0319,0.00554,0.00199,0.133,0.659,110.839,audio_features,5nG6XQckfjnPkDyxDGDFFV,spotify:track:5nG6XQckfjnPkDyxDGDFFV,https://api.spotify.com/v1/tracks/5nG6XQckfjnPkDyxDGDFFV,https://api.spotify.com/v1/audio-analysis/5nG6XQckfjnPkDyxDGDFFV,185693,4,"['alternative rock', 'chamber pop', 'indie rock', 'lo-fi', 'shoegaze']",rock
Blood In Blood Out,3J879i79Um3fE6FB4kdAnS,Jedi Mind Tricks,0PI3pXpUMScjweiw3IbADc,0.847,0.829,1,-5.548,0,0.263,0.134,0.00106,0.113,0.605,97.087,audio_features,3J879i79Um3fE6FB4kdAnS,spotify:track:3J879i79Um3fE6FB4kdAnS,https://api.spotify.com/v1/tracks/3J879i79Um3fE6FB4kdAnS,https://api.spotify.com/v1/audio-analysis/3J879i79Um3fE6FB4kdAnS,246800,4,"['conscious hip hop', 'philly rap', 'political hip hop']",hip hop
Amaranth,0cYduKz7njWaJ73PGn6OGW,Nightwish,2NPduAUeLVsfIauhRwuft1,0.553,0.874,2,-3.685,0,0.0401,0.00388,0.00184,0.104,0.319,127.961,audio_features,0cYduKz7njWaJ73PGn6OGW,spotify:track:0cYduKz7njWaJ73PGn6OGW,https://api.spotify.com/v1/tracks/0cYduKz7njWaJ73PGn6OGW,https://api.spotify.com/v1/audio-analysis/0cYduKz7njWaJ73PGn6OGW,231413,4,"['fantasy metal', 'finnish metal', 'finnish power metal', 'gothic metal', 'gothic symphonic metal', 'opera metal', 'power metal', 'symphonic metal']",metal
Hey Ya!,2PpruBYCo4H7WOBJ7Q2EwM,Outkast,1G9G7WwrXka3Z1r7aIDjI7,0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,audio_features,2PpruBYCo4H7WOBJ7Q2EwM,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,https://api.spotify.com/v1/tracks/2PpruBYCo4H7WOBJ7Q2EwM,https://api.spotify.com/v1/audio-analysis/2PpruBYCo4H7WOBJ7Q2EwM,235213,4,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']",hip hop
Don't Carry It All,2UODQhPzz51lssoMPOlfy5,The Decemberists,7ITd48RbLVpUfheE7B86o2,0.494,0.836,7,-4.327,1,0.0531,0.0249,0.0,0.457,0.627,142.56,audio_features,2UODQhPzz51lssoMPOlfy5,spotify:track:2UODQhPzz51lssoMPOlfy5,https://api.spotify.com/v1/tracks/2UODQhPzz51lssoMPOlfy5,https://api.spotify.com/v1/audio-analysis/2UODQhPzz51lssoMPOlfy5,256560,4,"['baroque pop', 'canadian indie', 'chamber pop', 'indie rock', 'modern folk rock', 'stomp and holler']",rock
Steal My Sunshine,4agp6oHofabdUedr0B1krj,LEN,0nyc9SZGLITSOJASmTZsnZ,0.412,0.829,4,-11.112,1,0.529,0.394,0.0,0.108,0.677,191.476,audio_features,4agp6oHofabdUedr0B1krj,spotify:track:4agp6oHofabdUedr0B1krj,https://api.spotify.com/v1/tracks/4agp6oHofabdUedr0B1krj,https://api.spotify.com/v1/audio-analysis/4agp6oHofabdUedr0B1krj,265533,4,['canadian rock'],rock
Sweet Child O' Mine,4MhTFsyqIJnjsOweVcU8ug,Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,0.449,0.901,6,-7.711,1,0.0526,0.141,0.0675,0.128,0.696,125.148,audio_features,4MhTFsyqIJnjsOweVcU8ug,spotify:track:4MhTFsyqIJnjsOweVcU8ug,https://api.spotify.com/v1/tracks/4MhTFsyqIJnjsOweVcU8ug,https://api.spotify.com/v1/audio-analysis/4MhTFsyqIJnjsOweVcU8ug,356400,4,"['glam metal', 'hard rock', 'rock']",rock
My Band,4XHQyvbrBsQaaBUW1VvmsL,D12,5Qi4Bb7a8C0a00NZcA77L0,0.851,0.849,1,-3.383,0,0.0828,0.497,2.05e-06,0.116,0.844,120.014,audio_features,4XHQyvbrBsQaaBUW1VvmsL,spotify:track:4XHQyvbrBsQaaBUW1VvmsL,https://api.spotify.com/v1/tracks/4XHQyvbrBsQaaBUW1VvmsL,https://api.spotify.com/v1/audio-analysis/4XHQyvbrBsQaaBUW1VvmsL,298773,4,"['detroit hip hop', 'gangster rap', 'hip hop']",hip hop
You're Gonna Say Yeah,3rWNmpZM3vPiRwbFToDLoO,Hushpuppies,115KcJpRFQWDqnZkqruT1k,0.401,0.93,2,-2.645,1,0.12,0.00392,0.0,0.0676,0.603,166.306,audio_features,3rWNmpZM3vPiRwbFToDLoO,spotify:track:3rWNmpZM3vPiRwbFToDLoO,https://api.spotify.com/v1/tracks/3rWNmpZM3vPiRwbFToDLoO,https://api.spotify.com/v1/audio-analysis/3rWNmpZM3vPiRwbFToDLoO,191213,4,"['french garage rock', 'french rock', 'rock independant francais']",rock
Children Of Divorce,1kNpW2a50rm2HuouIRTjyT,Jonny Craig,46MmlFKM8ivDsUnGOejvSM,0.321,0.199,7,-13.239,1,0.0321,0.506,0.0,0.137,0.208,112.015,audio_features,1kNpW2a50rm2HuouIRTjyT,spotify:track:1kNpW2a50rm2HuouIRTjyT,https://api.spotify.com/v1/tracks/1kNpW2a50rm2HuouIRTjyT,https://api.spotify.com/v1/audio-analysis/1kNpW2a50rm2HuouIRTjyT,238907,3,['screamo'],screamo
Sunshine (feat. Lea),4s0o8TJHfX9LLHa0umnOzT,Lil' Flip,4Q5sPmM8j4SpMqL4UA1DtS,0.814,0.387,0,-9.867,1,0.0946,0.0248,0.0,0.131,0.792,93.961,audio_features,4s0o8TJHfX9LLHa0umnOzT,spotify:track:4s0o8TJHfX9LLHa0umnOzT,https://api.spotify.com/v1/tracks/4s0o8TJHfX9LLHa0umnOzT,https://api.spotify.com/v1/audio-analysis/4s0o8TJHfX9LLHa0umnOzT,225173,4,"['crunk', 'dirty south rap']",crunk
Animal,6vSq5q5DCs1IvwKIq53hj2,Miike Snow,4l1cKWYW591xnwEGxpUg3J,0.774,0.721,6,-6.662,0,0.0773,0.0126,6.49e-06,0.0952,0.654,118.048,audio_features,6vSq5q5DCs1IvwKIq53hj2,spotify:track:6vSq5q5DCs1IvwKIq53hj2,https://api.spotify.com/v1/tracks/6vSq5q5DCs1IvwKIq53hj2,https://api.spotify.com/v1/audio-analysis/6vSq5q5DCs1IvwKIq53hj2,263427,4,"['alternative dance', 'electropop', 'indietronica', 'neo-synthpop', 'shimmer pop', 'swedish electropop', 'swedish indie pop', 'swedish synthpop']",pop
Uptown Funk (feat. Bruno Mars),32OlwWuMpZ6b0aN2RZOeMS,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,audio_features,32OlwWuMpZ6b0aN2RZOeMS,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS,https://api.spotify.com/v1/audio-analysis/32OlwWuMpZ6b0aN2RZOeMS,269667,4,['pop soul'],pop
Kryptonite,6ZOBP3NvffbU4SZcrnt1k6,3 Doors Down,2RTUTCvo6onsAnheUk3aL9,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,audio_features,6ZOBP3NvffbU4SZcrnt1k6,spotify:track:6ZOBP3NvffbU4SZcrnt1k6,https://api.spotify.com/v1/tracks/6ZOBP3NvffbU4SZcrnt1k6,https://api.spotify.com/v1/audio-analysis/6ZOBP3NvffbU4SZcrnt1k6,233933,4,"['alternative metal', 'nu metal', 'post-grunge', 'rock']",metal
Inside Out,4GiVcDqNQI0fc0yYuRGH9m,Eve 6,4Eqd24yS5YcxI8b6Xfuwr8,0.483,0.818,11,-7.666,1,0.0444,0.114,0.0,0.367,0.691,175.668,audio_features,4GiVcDqNQI0fc0yYuRGH9m,spotify:track:4GiVcDqNQI0fc0yYuRGH9m,https://api.spotify.com/v1/tracks/4GiVcDqNQI0fc0yYuRGH9m,https://api.spotify.com/v1/audio-analysis/4GiVcDqNQI0fc0yYuRGH9m,219467,4,"['alternative metal', 'pop rock', 'post-grunge']",pop
Choices (Yup),5vIu19A3EEdHgFM4Cba6F4,E-40,3crnzLy8R4lVwaigKEOz7V,0.892,0.607,9,-7.232,0,0.367,0.144,0.000314,0.0909,0.244,120.0,audio_features,5vIu19A3EEdHgFM4Cba6F4,spotify:track:5vIu19A3EEdHgFM4Cba6F4,https://api.spotify.com/v1/tracks/5vIu19A3EEdHgFM4Cba6F4,https://api.spotify.com/v1/audio-analysis/5vIu19A3EEdHgFM4Cba6F4,272720,4,"['cali rap', 'gangster rap', 'hyphy', 'oakland hip hop', 'west coast rap']",rap
The Seduction,4pVmA9mRD6FYrVQYhi8lEF,He Is Legend,53cAPynhUIC5WFgPPfbp2r,0.439,0.942,2,-11.088,0,0.107,6.98e-05,0.153,0.302,0.324,108.095,audio_features,4pVmA9mRD6FYrVQYhi8lEF,spotify:track:4pVmA9mRD6FYrVQYhi8lEF,https://api.spotify.com/v1/tracks/4pVmA9mRD6FYrVQYhi8lEF,https://api.spotify.com/v1/audio-analysis/4pVmA9mRD6FYrVQYhi8lEF,230400,4,"['post-hardcore', 'screamo']",hardcore
Too Close,4sK96UnGx3NjBaqvfTG2dm,Alex Clare,5Tf4EH8tDvznnjULcFxkIl,0.584,0.712,11,-4.311,0,0.0395,0.0112,1.05e-06,0.114,0.286,126.043,audio_features,4sK96UnGx3NjBaqvfTG2dm,spotify:track:4sK96UnGx3NjBaqvfTG2dm,https://api.spotify.com/v1/tracks/4sK96UnGx3NjBaqvfTG2dm,https://api.spotify.com/v1/audio-analysis/4sK96UnGx3NjBaqvfTG2dm,256560,4,['modern alternative rock'],rock
Sultans of Swing,6cr6UDpkjEaMQ80OjWqEBQ,Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T,0.73,0.868,5,-7.325,1,0.0288,0.0632,0.0661,0.318,0.923,148.217,audio_features,6cr6UDpkjEaMQ80OjWqEBQ,spotify:track:6cr6UDpkjEaMQ80OjWqEBQ,https://api.spotify.com/v1/tracks/6cr6UDpkjEaMQ80OjWqEBQ,https://api.spotify.com/v1/audio-analysis/6cr6UDpkjEaMQ80OjWqEBQ,350400,4,"['album rock', 'classic rock', 'mellow gold', 'rock']",rock
Back to the Hotel,2TVWQ8xDTLvjimMSqW3F96,N2DEEP,7zgtJuRm0JcJpPQRjCgXT7,0.7,0.476,9,-9.195,1,0.0512,0.000166,0.000791,0.0823,0.323,201.77,audio_features,2TVWQ8xDTLvjimMSqW3F96,spotify:track:2TVWQ8xDTLvjimMSqW3F96,https://api.spotify.com/v1/tracks/2TVWQ8xDTLvjimMSqW3F96,https://api.spotify.com/v1/audio-analysis/2TVWQ8xDTLvjimMSqW3F96,304360,4,"['chicano rap', 'west coast rap']",rap
Drive,7nnWIPM5hwE3DaUBkvOIpy,Incubus,3YcBF2ttyueytpXtEzn1Za,0.645,0.792,4,-7.34,0,0.036,0.0562,0.0121,0.119,0.666,90.565,audio_features,7nnWIPM5hwE3DaUBkvOIpy,spotify:track:7nnWIPM5hwE3DaUBkvOIpy,https://api.spotify.com/v1/tracks/7nnWIPM5hwE3DaUBkvOIpy,https://api.spotify.com/v1/audio-analysis/7nnWIPM5hwE3DaUBkvOIpy,232453,4,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'nu metal', 'post-grunge', 'rock']",rock
My Friends Over You,12mF5rnbbT7jNqiBv8NBFt,New Found Glory,4ghjRm4M2vChDfTUycx0Ce,0.398,0.978,2,-4.001,1,0.133,0.000291,0.0,0.0947,0.441,177.797,audio_features,12mF5rnbbT7jNqiBv8NBFt,spotify:track:12mF5rnbbT7jNqiBv8NBFt,https://api.spotify.com/v1/tracks/12mF5rnbbT7jNqiBv8NBFt,https://api.spotify.com/v1/audio-analysis/12mF5rnbbT7jNqiBv8NBFt,220200,4,"['easycore', 'neon pop punk', 'pop punk']",pop
Centuries,04aAxqtGp5pv12UXAg4pkq,Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX,0.393,0.858,4,-2.868,0,0.0729,0.00359,0.0,0.102,0.56,176.042,audio_features,04aAxqtGp5pv12UXAg4pkq,spotify:track:04aAxqtGp5pv12UXAg4pkq,https://api.spotify.com/v1/tracks/04aAxqtGp5pv12UXAg4pkq,https://api.spotify.com/v1/audio-analysis/04aAxqtGp5pv12UXAg4pkq,228360,4,"['emo', 'modern rock', 'pop', 'rock']",rock
Shadows,7mW8ul2VqE6O9oBSuaxnlf,Au Revoir Simone,0X0TajZO1RmY3D8u1JymYq,0.415,0.613,1,-10.193,1,0.0342,0.219,0.54,0.0878,0.567,165.008,audio_features,7mW8ul2VqE6O9oBSuaxnlf,spotify:track:7mW8ul2VqE6O9oBSuaxnlf,https://api.spotify.com/v1/tracks/7mW8ul2VqE6O9oBSuaxnlf,https://api.spotify.com/v1/audio-analysis/7mW8ul2VqE6O9oBSuaxnlf,242973,4,['brooklyn indie'],brooklyn indie
Friday Night,3P9YAWLD464pcYyYMaotQh,The Last Royals,5IdTPFXrveWkm5GNFJa9fw,0.54,0.918,9,-4.338,1,0.0486,0.0576,9.68e-06,0.076,0.499,119.975,audio_features,3P9YAWLD464pcYyYMaotQh,spotify:track:3P9YAWLD464pcYyYMaotQh,https://api.spotify.com/v1/tracks/3P9YAWLD464pcYyYMaotQh,https://api.spotify.com/v1/audio-analysis/3P9YAWLD464pcYyYMaotQh,228747,4,['stomp and whittle'],stomp and whittle
My Chick Bad,3bMNprrp2JDKZsGbiXpsJl,Ludacris,3ipn9JLAPI5GUEo4y4jcoi,0.624,0.723,1,-6.782,1,0.378,0.172,0.0,0.483,0.757,84.789,audio_features,3bMNprrp2JDKZsGbiXpsJl,spotify:track:3bMNprrp2JDKZsGbiXpsJl,https://api.spotify.com/v1/tracks/3bMNprrp2JDKZsGbiXpsJl,https://api.spotify.com/v1/audio-analysis/3bMNprrp2JDKZsGbiXpsJl,216933,4,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",rap
Despite What You've Been Told,4BBinS6ZWPxXRTbXqgLJiu,Two Gallants,38umPQJRH11dxydNwq8yGP,0.553,0.821,0,-4.961,1,0.0314,0.00141,0.0,0.077,0.622,151.32,audio_features,4BBinS6ZWPxXRTbXqgLJiu,spotify:track:4BBinS6ZWPxXRTbXqgLJiu,https://api.spotify.com/v1/tracks/4BBinS6ZWPxXRTbXqgLJiu,https://api.spotify.com/v1/audio-analysis/4BBinS6ZWPxXRTbXqgLJiu,269160,4,['bay area indie'],bay area indie
